year;winner
1992;Barcelona
1993;Marseille
1994;AC Milan
1995;Ajax
1996;Juventus
1997;Borussia Dortmund
1998;Real Madrid
1999;Manchester United
2000;Real Madrid
2001;Bayern Munich
2002;Real Madrid
2003;AC Milan
2004;Porto
2005;Liverpool
2006;Barcelona
2007;AC Milan
2008;Manchester United
2009;Barcelona
2010;Inter Milan
2011;Barcelona
2012;Chelsea
2013;Bayern Munich
2014;Real Madrid
2015;Barcelona
2016;Real Madrid
2017;Real Madrid
2018;Real Madrid
2019;Liverpool
2020;Bayern Munich
2021;Chelsea
2022;Real Madrid
2023;Manchester City
